bsize; partition; subsize; time 
6; 1; 5; 0.000103
6; 0; 6; 0.000050
6; 0; 6; 0.000040
6; 0; 6; 0.000093
9; 3; 6; 0.000355
6; 0; 6; 0.000041
6; 1; 5; 0.000055
6; 8; 17; 0.000044
6; 1; 5; 0.000046
9; 3; 6; 0.000227
6; 1; 5; 0.000031
6; 8; 17; 0.000067
6; 0; 6; 0.000054
6; 0; 6; 0.000064
9; 3; 6; 0.000274
3; 2; 1; 0.000037
3; 0; 3; 0.000034
3; 0; 3; 0.000014
3; 1; 2; 0.000016
6; 3; 3; 0.000156
6; 8; 17; 0.000047
6; 2; 4; 0.000043
6; 0; 6; 0.000026
9; 3; 6; 0.000345
12; 3; 9; 0.001229
6; 8; 17; 0.000060
6; 0; 6; 0.000061
3; 0; 3; 0.000014
3; 0; 3; 0.000015
3; 0; 3; 0.000032
3; 1; 2; 0.000017
6; 3; 3; 0.000116
6; 8; 17; 0.000073
9; 3; 6; 0.000350
6; 7; 4; 0.000080
3; 1; 2; 0.000020
3; 1; 2; 0.000017
3; 2; 1; 0.000023
0; 0; 0; 0.000007
0; 0; 0; 0.000023
0; 0; 0; 0.000006
0; 0; 0; 0.000011
3; 3; 0; 0.000083
6; 3; 3; 0.000199
6; 4; 5; 0.000066
3; 1; 2; 0.000017
3; 2; 1; 0.000019
3; 0; 3; 0.000013
3; 2; 1; 0.000016
6; 3; 3; 0.000120
9; 3; 6; 0.000498
9; 9; 18; 0.000177
6; 8; 17; 0.000043
6; 9; 16; 0.000052
6; 1; 5; 0.000057
6; 9; 16; 0.000060
9; 3; 6; 0.000254
12; 3; 9; 0.001313
6; 2; 4; 0.000037
6; 2; 4; 0.000069
6; 1; 5; 0.000076
6; 1; 5; 0.000058
9; 3; 6; 0.000296
6; 0; 6; 0.000035
6; 0; 6; 0.000051
6; 0; 6; 0.000057
6; 1; 5; 0.000052
9; 3; 6; 0.000237
9; 9; 18; 0.000181
9; 6; 7; 0.000191
12; 3; 9; 0.000950
6; 1; 5; 0.000068
6; 9; 16; 0.000093
6; 2; 4; 0.000085
6; 1; 5; 0.000071
9; 3; 6; 0.000361
6; 8; 17; 0.000093
6; 9; 16; 0.000076
6; 1; 5; 0.000039
6; 7; 4; 0.000065
9; 3; 6; 0.000316
6; 8; 17; 0.000070
3; 2; 1; 0.000018
3; 0; 3; 0.000007
3; 2; 1; 0.000015
3; 0; 3; 0.000012
6; 3; 3; 0.000092
3; 0; 3; 0.000015
3; 2; 1; 0.000016
3; 0; 3; 0.000012
3; 0; 3; 0.000012
6; 3; 3; 0.000092
6; 6; 4; 0.000049
9; 3; 6; 0.000341
3; 0; 3; 0.000008
3; 2; 1; 0.000016
3; 1; 2; 0.000013
3; 1; 2; 0.000025
6; 3; 3; 0.000107
6; 0; 6; 0.000093
6; 9; 16; 0.000083
6; 8; 17; 0.000076
9; 3; 6; 0.000423
12; 3; 9; 0.001479
15; 3; 12; 0.005018
0; 0; 0; 0.000024
0; 0; 0; 0.000007
0; 0; 0; 0.000010
0; 0; 0; 0.000038
3; 3; 0; 0.000188
3; 0; 3; 0.000022
3; 2; 1; 0.000023
3; 0; 3; 0.000021
6; 3; 3; 0.000314
6; 8; 17; 0.000067
6; 8; 17; 0.000061
3; 1; 2; 0.000023
3; 2; 1; 0.000022
3; 0; 3; 0.000018
3; 1; 2; 0.000022
6; 3; 3; 0.000125
9; 3; 6; 0.000606
6; 4; 5; 0.000069
6; 2; 4; 0.000065
6; 0; 6; 0.000044
3; 0; 3; 0.000013
3; 2; 1; 0.000018
3; 1; 2; 0.000014
3; 1; 2; 0.000016
6; 3; 3; 0.000114
9; 3; 6; 0.000331
6; 9; 16; 0.000057
6; 0; 6; 0.000068
6; 8; 17; 0.000070
6; 8; 17; 0.000054
9; 3; 6; 0.000291
6; 6; 4; 0.000061
6; 7; 4; 0.000050
3; 0; 3; 0.000017
3; 0; 3; 0.000019
3; 2; 1; 0.000021
0; 0; 0; 0.000005
0; 0; 0; 0.000006
0; 0; 0; 0.000004
0; 0; 0; 0.000007
3; 3; 0; 0.000057
6; 3; 3; 0.000149
3; 2; 1; 0.000033
3; 2; 1; 0.000051
3; 1; 2; 0.000014
3; 2; 1; 0.000032
6; 3; 3; 0.000183
9; 3; 6; 0.000476
12; 3; 9; 0.001746
6; 2; 4; 0.000067
6; 1; 5; 0.000074
6; 9; 16; 0.000060
6; 7; 4; 0.000032
9; 3; 6; 0.000276
6; 8; 17; 0.000053
6; 0; 6; 0.000052
6; 1; 5; 0.000041
6; 2; 4; 0.000042
9; 3; 6; 0.000230
3; 2; 1; 0.000018
3; 2; 1; 0.000015
3; 2; 1; 0.000024
3; 0; 3; 0.000022
6; 3; 3; 0.000133
3; 1; 2; 0.000010
3; 0; 3; 0.000023
3; 0; 3; 0.000016
3; 0; 3; 0.000035
6; 3; 3; 0.000158
6; 4; 5; 0.000078
6; 2; 4; 0.000071
9; 3; 6; 0.000502
6; 0; 6; 0.000060
6; 2; 4; 0.000062
6; 0; 6; 0.000055
6; 4; 5; 0.000040
9; 3; 6; 0.000260
12; 3; 9; 0.001324
6; 9; 16; 0.000056
6; 2; 4; 0.000062
6; 4; 5; 0.000089
3; 1; 2; 0.000033
3; 2; 1; 0.000034
3; 1; 2; 0.000037
0; 0; 0; 0.000021
0; 0; 0; 0.000007
0; 0; 0; 0.000007
0; 0; 0; 0.000009
3; 3; 0; 0.000096
6; 3; 3; 0.000278
9; 3; 6; 0.000540
9; 8; 19; 0.000147
6; 0; 6; 0.000076
6; 1; 5; 0.000073
3; 0; 3; 0.000018
3; 1; 2; 0.000036
3; 0; 3; 0.000033
3; 2; 1; 0.000016
6; 3; 3; 0.000182
6; 8; 17; 0.000088
9; 3; 6; 0.000472
3; 0; 3; 0.000016
3; 1; 2; 0.000015
3; 2; 1; 0.000019
3; 0; 3; 0.000015
6; 3; 3; 0.000103
6; 4; 5; 0.000054
6; 9; 16; 0.000064
6; 9; 16; 0.000056
9; 3; 6; 0.000316
12; 3; 9; 0.001521
6; 2; 4; 0.000042
3; 1; 2; 0.000018
3; 1; 2; 0.000013
3; 0; 3; 0.000013
3; 0; 3; 0.000014
6; 3; 3; 0.000095
6; 5; 5; 0.000041
3; 0; 3; 0.000012
3; 0; 3; 0.000011
3; 1; 2; 0.000013
3; 1; 2; 0.000014
6; 3; 3; 0.000095
9; 3; 6; 0.000312
3; 1; 2; 0.000023
3; 0; 3; 0.000022
3; 0; 3; 0.000016
3; 1; 2; 0.000022
6; 3; 3; 0.000140
6; 5; 5; 0.000069
6; 8; 17; 0.000030
3; 0; 3; 0.000021
3; 1; 2; 0.000036
3; 2; 1; 0.000017
3; 1; 2; 0.000013
6; 3; 3; 0.000137
9; 3; 6; 0.000421
3; 0; 3; 0.000008
3; 0; 3; 0.000012
3; 1; 2; 0.000016
3; 0; 3; 0.000009
6; 3; 3; 0.000079
6; 1; 5; 0.000039
6; 7; 4; 0.000049
6; 1; 5; 0.000050
9; 3; 6; 0.000261
6; 1; 5; 0.000057
6; 9; 16; 0.000058
6; 8; 17; 0.000043
6; 9; 16; 0.000053
9; 3; 6; 0.000261
12; 3; 9; 0.001291
15; 3; 12; 0.005922
9; 2; 7; 0.000164
9; 9; 18; 0.000173
9; 0; 9; 0.000186
6; 9; 16; 0.000043
6; 2; 4; 0.000061
6; 1; 5; 0.000054
6; 8; 17; 0.000063
9; 3; 6; 0.000263
12; 3; 9; 0.000828
9; 9; 18; 0.000179
6; 4; 5; 0.000044
6; 2; 4; 0.000052
6; 6; 4; 0.000034
6; 0; 6; 0.000042
9; 3; 6; 0.000212
6; 6; 4; 0.000045
6; 0; 6; 0.000061
3; 1; 2; 0.000018
3; 2; 1; 0.000016
3; 0; 3; 0.000012
3; 1; 2; 0.000020
6; 3; 3; 0.000106
3; 0; 3; 0.000020
3; 2; 1; 0.000021
3; 2; 1; 0.000021
3; 0; 3; 0.000017
6; 3; 3; 0.000116
9; 3; 6; 0.000366
6; 9; 16; 0.000045
6; 1; 5; 0.000038
6; 6; 4; 0.000044
6; 2; 4; 0.000048
9; 3; 6; 0.000215
12; 3; 9; 0.001003
6; 1; 5; 0.000056
6; 8; 17; 0.000059
6; 5; 5; 0.000047
6; 8; 17; 0.000064
9; 3; 6; 0.000268
6; 1; 5; 0.000055
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000005
0; 0; 0; 0.000010
3; 3; 0; 0.000060
3; 0; 3; 0.000012
3; 2; 1; 0.000017
3; 0; 3; 0.000015
6; 3; 3; 0.000138
6; 9; 16; 0.000046
6; 1; 5; 0.000047
9; 3; 6; 0.000324
6; 2; 4; 0.000047
6; 0; 6; 0.000050
0; 0; 0; 0.000007
0; 0; 0; 0.000006
0; 0; 0; 0.000006
0; 0; 0; 0.000011
3; 3; 0; 0.000063
3; 0; 3; 0.000018
3; 0; 3; 0.000018
3; 2; 1; 0.000019
6; 3; 3; 0.000152
3; 0; 3; 0.000016
3; 1; 2; 0.000015
3; 2; 1; 0.000021
3; 1; 2; 0.000020
6; 3; 3; 0.000108
9; 3; 6; 0.000391
6; 0; 6; 0.000049
6; 0; 6; 0.000042
6; 5; 5; 0.000053
6; 0; 6; 0.000037
9; 3; 6; 0.000220
12; 3; 9; 0.001229
6; 9; 16; 0.000056
6; 8; 17; 0.000062
6; 9; 16; 0.000057
6; 8; 17; 0.000068
9; 3; 6; 0.000282
6; 6; 4; 0.000035
6; 0; 6; 0.000043
6; 0; 6; 0.000041
6; 2; 4; 0.000045
9; 3; 6; 0.000203
6; 9; 16; 0.000052
6; 1; 5; 0.000061
3; 0; 3; 0.000012
3; 0; 3; 0.000014
3; 1; 2; 0.000018
3; 0; 3; 0.000015
6; 3; 3; 0.000097
6; 8; 17; 0.000044
9; 3; 6; 0.000294
6; 0; 6; 0.000043
6; 0; 6; 0.000039
6; 1; 5; 0.000042
6; 8; 17; 0.000045
9; 3; 6; 0.000210
12; 3; 9; 0.001017
15; 3; 12; 0.004106
6; 8; 17; 0.000053
6; 1; 5; 0.000042
6; 5; 5; 0.000063
3; 0; 3; 0.000015
3; 0; 3; 0.000013
3; 0; 3; 0.000013
3; 0; 3; 0.000010
6; 3; 3; 0.000088
9; 3; 6; 0.000282
6; 7; 4; 0.000049
6; 9; 16; 0.000055
6; 0; 6; 0.000039
6; 9; 16; 0.000044
9; 3; 6; 0.000226
12; 3; 9; 0.000521
3; 0; 3; 0.000012
3; 2; 1; 0.000012
3; 0; 3; 0.000012
3; 0; 3; 0.000011
6; 3; 3; 0.000083
3; 2; 1; 0.000015
3; 0; 3; 0.000009
3; 0; 3; 0.000016
3; 1; 2; 0.000016
6; 3; 3; 0.000092
6; 0; 6; 0.000038
6; 8; 17; 0.000043
9; 3; 6; 0.000287
6; 2; 4; 0.000042
6; 9; 16; 0.000053
6; 5; 5; 0.000042
6; 2; 4; 0.000042
9; 3; 6; 0.000217
12; 3; 9; 0.000518
15; 3; 12; 0.001053
9; 9; 18; 0.000177
6; 6; 4; 0.000036
6; 1; 5; 0.000027
6; 5; 5; 0.000039
6; 0; 6; 0.000043
9; 3; 6; 0.000187
6; 0; 6; 0.000039
6; 2; 4; 0.000053
6; 0; 6; 0.000048
6; 7; 4; 0.000047
9; 3; 6; 0.000227
6; 1; 5; 0.000046
6; 4; 5; 0.000055
6; 0; 6; 0.000035
6; 7; 4; 0.000058
9; 3; 6; 0.000239
12; 3; 9; 0.000861
3; 0; 3; 0.000012
3; 1; 2; 0.000023
3; 1; 2; 0.000021
3; 0; 3; 0.000017
6; 3; 3; 0.000115
6; 9; 16; 0.000060
3; 1; 2; 0.000022
3; 0; 3; 0.000021
3; 1; 2; 0.000018
3; 1; 2; 0.000022
6; 3; 3; 0.000125
6; 7; 4; 0.000067
9; 3; 6; 0.000400
6; 5; 5; 0.000062
3; 1; 2; 0.000017
0; 0; 0; 0.000005
0; 0; 0; 0.000006
0; 0; 0; 0.000007
0; 0; 0; 0.000004
3; 3; 0; 0.000066
0; 0; 0; 0.000008
0; 0; 0; 0.000005
0; 0; 0; 0.000007
0; 0; 0; 0.000008
3; 3; 0; 0.000073
3; 1; 2; 0.000018
6; 3; 3; 0.000209
6; 9; 16; 0.000048
6; 6; 4; 0.000055
9; 3; 6; 0.000414
3; 2; 1; 0.000019
3; 0; 3; 0.000021
3; 0; 3; 0.000019
3; 2; 1; 0.000019
6; 3; 3; 0.000118
6; 9; 16; 0.000063
3; 0; 3; 0.000024
3; 0; 3; 0.000023
3; 2; 1; 0.000021
3; 0; 3; 0.000019
6; 3; 3; 0.000133
6; 7; 4; 0.000053
9; 3; 6; 0.000400
6; 4; 5; 0.000038
6; 9; 16; 0.000052
6; 4; 5; 0.000038
6; 0; 6; 0.000055
9; 3; 6; 0.000228
12; 3; 9; 0.001467
6; 0; 6; 0.000057
6; 9; 16; 0.000040
6; 2; 4; 0.000048
6; 9; 16; 0.000050
9; 3; 6; 0.000241
6; 1; 5; 0.000057
6; 7; 4; 0.000088
6; 8; 17; 0.000070
6; 9; 16; 0.000062
9; 3; 6; 0.000335
6; 5; 5; 0.000038
6; 2; 4; 0.000044
9; 3; 6; 0.000103
6; 1; 5; 0.000058
6; 4; 5; 0.000051
9; 3; 6; 0.000132
12; 3; 9; 0.000837
6; 9; 16; 0.000065
6; 9; 16; 0.000049
6; 1; 5; 0.000062
6; 9; 16; 0.000040
9; 3; 6; 0.000258
6; 1; 5; 0.000031
6; 2; 4; 0.000052
6; 0; 6; 0.000045
6; 1; 5; 0.000063
9; 3; 6; 0.000231
9; 1; 8; 0.000077
6; 9; 16; 0.000057
6; 1; 5; 0.000073
9; 3; 6; 0.000164
12; 3; 9; 0.000758
15; 3; 12; 0.003949
3; 2; 1; 0.000019
3; 1; 2; 0.000018
3; 2; 1; 0.000017
3; 2; 1; 0.000016
6; 3; 3; 0.000109
3; 2; 1; 0.000014
3; 2; 1; 0.000017
3; 2; 1; 0.000014
3; 1; 2; 0.000022
6; 3; 3; 0.000112
6; 8; 17; 0.000065
6; 2; 4; 0.000065
9; 3; 6; 0.000387
6; 9; 16; 0.000052
6; 9; 16; 0.000044
6; 2; 4; 0.000057
6; 9; 16; 0.000042
9; 3; 6; 0.000237
3; 1; 2; 0.000015
3; 0; 3; 0.000016
3; 1; 2; 0.000023
3; 1; 2; 0.000013
6; 3; 3; 0.000105
3; 0; 3; 0.000015
3; 1; 2; 0.000020
3; 0; 3; 0.000016
3; 0; 3; 0.000018
6; 3; 3; 0.000107
6; 8; 17; 0.000056
3; 2; 1; 0.000018
3; 0; 3; 0.000013
3; 1; 2; 0.000011
3; 1; 2; 0.000014
6; 3; 3; 0.000093
9; 3; 6; 0.000392
3; 2; 1; 0.000015
3; 0; 3; 0.000012
3; 1; 2; 0.000017
3; 0; 3; 0.000010
6; 3; 3; 0.000090
6; 7; 4; 0.000038
3; 2; 1; 0.000016
3; 1; 2; 0.000018
3; 0; 3; 0.000015
0; 0; 0; 0.000005
0; 0; 0; 0.000006
0; 0; 0; 0.000005
0; 0; 0; 0.000009
3; 3; 0; 0.000060
6; 3; 3; 0.000143
3; 1; 2; 0.000014
3; 1; 2; 0.000018
3; 0; 3; 0.000013
3; 1; 2; 0.000012
6; 3; 3; 0.000095
9; 3; 6; 0.000395
12; 3; 9; 0.001438
3; 1; 2; 0.000007
3; 0; 3; 0.000013
3; 1; 2; 0.000018
3; 0; 3; 0.000017
6; 3; 3; 0.000089
6; 2; 4; 0.000040
6; 6; 4; 0.000042
6; 8; 17; 0.000036
9; 3; 6; 0.000245
6; 1; 5; 0.000032
6; 9; 16; 0.000064
6; 1; 5; 0.000031
3; 0; 3; 0.000015
3; 2; 1; 0.000013
3; 0; 3; 0.000015
3; 0; 3; 0.000019
6; 3; 3; 0.000099
9; 3; 6; 0.000263
3; 0; 3; 0.000012
3; 0; 3; 0.000011
3; 1; 2; 0.000020
3; 1; 2; 0.000012
6; 3; 3; 0.000093
6; 9; 16; 0.000033
3; 0; 3; 0.000014
3; 2; 1; 0.000018
3; 0; 3; 0.000010
3; 1; 2; 0.000018
6; 3; 3; 0.000096
6; 9; 16; 0.000057
9; 3; 6; 0.000311
6; 0; 6; 0.000037
6; 9; 16; 0.000052
