(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
13.177921;13.177539;11.443211;11.439365;11.820381;11.820358;10.276223;10.230198;12.298670;12.297306;0.940983;0.000000;5.000000;5.000000;0.000000;5.000000;5.000000;1;0;0;15;0
11.443211;11.439365;10.339805;10.328592;9.116579;9.114270;8.843760;8.841738;8.635509;8.635509;0.940983;0.000000;4.000000;4.000000;0.000000;4.000000;4.000000;1;0;0;12;0
10.339805;10.328592;8.781709;8.769507;8.460199;8.438799;8.185629;8.160233;7.290293;7.195187;0.940983;0.000000;3.000000;3.000000;0.000000;3.000000;3.000000;1;0;0;9;0
8.781709;8.769507;7.149132;7.146772;7.484931;7.470794;6.336826;6.318968;7.712891;7.579168;0.940983;0.000000;2.000000;2.000000;0.000000;2.000000;2.000000;1;0;0;6;1
7.149132;7.146772;4.812184;4.304065;6.013715;4.919981;6.705639;6.493754;6.126869;6.086775;0.940983;0.000000;1.000000;1.000000;0.000000;1.000000;1.000000;1;0;0;3;0
7.484931;7.470794;5.616771;5.351858;6.089045;6.068426;5.313206;5.036952;7.419980;7.038784;0.940983;0.000000;1.000000;1.000000;1.000000;0.000000;1.000000;1;0;2;3;0
6.336826;6.318968;4.330733;4.290460;4.330733;4.060443;4.948760;4.948760;5.049856;5.049856;0.940983;1.000000;0.000000;1.000000;0.000000;1.000000;1.000000;1;2;0;3;0
7.712891;7.579168;6.253829;6.095825;6.152733;6.131227;4.317488;4.189655;4.143135;3.637586;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;2;2;3;1
8.460199;8.438799;7.659172;7.657283;6.552508;6.548219;5.983936;5.942800;5.513429;5.459586;0.940983;0.000000;2.000000;2.000000;1.000000;1.000000;1.000000;1;0;4;6;1
7.659172;7.657283;6.748760;6.705639;6.100319;5.955837;6.472346;6.470799;6.188264;5.983936;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;0;4;3;0
6.552508;6.548219;6.104793;6.042633;3.401197;3.401197;3.931826;3.931826;3.583519;3.367296;0.940983;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;0;6;3;0
5.983936;5.942800;5.056246;4.615120;4.189655;4.110874;4.828314;4.605170;4.204693;4.204693;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;1;2;4;3;0
5.513429;5.459586;3.988984;3.931826;3.871201;3.637586;3.970292;3.970292;3.828641;3.761200;0.940983;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1;2;6;3;0
8.185629;8.160233;7.706163;7.659172;5.758902;5.720312;6.630683;6.470799;5.799093;5.793014;0.940983;1.000000;1.000000;0.000000;0.000000;2.000000;2.000000;1;4;0;6;0
7.706163;7.659172;5.560682;5.451038;5.857933;5.739793;6.568078;6.563856;5.826000;5.693732;0.940983;1.000000;1.000000;0.000000;0.000000;1.000000;1.000000;1;4;0;3;1
5.758902;5.720312;3.610918;3.610918;4.127134;3.951244;4.418840;4.406719;4.248495;4.234107;0.940983;1.000000;1.000000;0.000000;1.000000;0.000000;0.000000;1;4;2;3;0
6.630683;6.470799;6.613384;5.375278;3.526361;3.433987;5.659482;5.525453;3.555348;3.555348;0.940983;1.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1;6;0;3;0
