(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
0.717659;0.717265;1.276911;1.236814;0.872384;0.894735;0.088011;0.048616;0.749469;0.769125;-1.878353;-1.583077;1.040831;1.044657;-2.257059;1.274729;1.286002;1;0;0;15;
1.187284;1.142817;1.332726;1.355412;1.420734;1.443509;1.174099;1.171179;-0.216691;-0.191612;-1.821806;-2.941405;1.031454;1.016947;-3.545101;1.040311;1.062372;1;0;0;12;
1.198924;1.221868;1.452147;1.504620;1.503642;1.545601;1.683213;1.692380;-0.434476;-0.383025;-1.771883;-4.810278;0.699043;0.671346;-5.009924;0.692370;0.739610;1;0;0;9;
1.289656;1.340678;1.964436;1.929623;0.973521;0.908421;1.545426;1.612854;0.374765;0.441842;-1.731566;-7.521735;0.135512;0.104506;-7.282178;0.087942;0.130838;1;0;0;6;
2.117296;2.083392;3.030559;3.022001;1.242728;1.241066;2.038880;2.199059;1.343987;1.296183;-1.696694;-12.083729;-0.654236;-0.685553;-11.041567;-0.659350;-0.630633;1;0;0;3;
1.040900;0.974941;1.679229;1.809424;1.382227;1.455047;-0.550719;-0.548851;0.356609;0.534547;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-2.005613;-0.630633;1;0;2;3;
1.663892;1.740617;1.393860;1.442621;-0.011848;0.100844;1.708745;1.701503;-0.712095;-0.682177;-1.696694;0.082757;-1.971053;-0.685553;-11.041567;-0.659350;-0.630633;1;2;0;3;
0.402957;0.480307;0.144413;0.184432;0.546619;0.587537;0.326420;0.452470;1.277535;1.456488;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-2.005613;-0.630633;1;2;2;3;
1.331995;1.371590;1.169241;1.235505;1.535757;1.621017;1.993448;1.852432;1.007057;0.949882;-1.731566;-7.521735;0.135512;0.104506;0.137320;-1.101415;-2.275006;1;0;4;6;
1.250244;1.327246;1.222075;1.410973;1.122170;1.277485;0.465111;0.564664;1.313678;1.401106;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-0.659350;-1.999311;1;0;4;3;
1.652761;1.749716;1.828083;2.007291;1.822709;2.008290;1.878969;2.075273;1.592773;1.490843;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-0.659350;-1.999311;1;0;6;3;
2.150276;2.000478;1.967757;2.096137;2.573192;1.758453;1.624322;1.818545;1.739722;1.744543;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-2.005613;-1.999311;1;2;4;3;
1.088038;1.030327;1.783122;1.746063;1.157613;0.943182;-0.212124;-0.150976;-0.930304;-0.874859;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-1.999311;1;2;6;3;
1.506787;1.513439;1.307644;1.391743;1.781983;1.858752;1.793215;1.696176;1.444514;1.483598;-1.731566;0.132947;-2.242367;-1.095221;-7.282178;0.087942;0.130838;1;4;0;6;
1.401154;1.497445;0.420027;0.555729;0.079555;0.260472;0.564726;0.743579;1.679706;1.847448;-1.696694;0.082757;-1.971053;-0.685553;-11.041567;-0.659350;-0.630633;1;4;0;3;
1.920719;2.008195;1.946479;1.882928;1.728017;1.630875;2.031251;2.104227;2.138240;2.333948;-1.696694;0.082757;-1.971053;-2.001890;0.090571;-2.005613;-0.630633;1;4;2;3;
1.932899;1.830993;2.157689;2.317653;1.808270;1.574489;2.063406;2.262757;1.042938;0.586814;-1.696694;0.082757;-1.971053;-0.685553;-11.041567;-0.659350;-0.630633;1;6;0;3;
1.562018;1.608145;2.398067;2.343399;0.782126;0.610517;2.328431;2.171014;0.248461;0.395433;-1.696694;0.082757;-1.971053;-2.001890;0.090571;-2.005613;-1.999311;1;6;2;3;
-0.585326;-0.534416;-0.077211;0.005033;-0.201332;-0.374191;-0.941144;-0.877898;-0.979062;-0.953934;-1.731566;0.132947;-1.053427;-2.294948;0.137320;-2.290773;-2.275006;1;4;4;6;
-0.108842;-0.013184;0.701188;0.880778;-0.503338;-0.368258;-0.015348;0.165187;-0.269037;-0.364830;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-2.005613;-1.999311;1;4;4;3;
-0.237647;-0.419590;0.006797;-0.513520;-0.123532;-0.120617;-0.465085;-0.959176;-0.329868;-0.294425;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-0.659350;-1.999311;1;4;6;3;
-1.035589;-0.960999;-1.252337;-1.273584;-0.363514;-0.566035;-1.173716;-1.103714;-0.631178;-0.473146;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-0.659350;-1.999311;1;6;4;3;
-1.063900;-1.030805;-0.535249;-0.942809;-0.868127;-0.755512;-0.650160;-0.516310;-0.915090;-0.771078;-1.696694;0.082757;-1.971053;-0.685553;0.090571;-0.659350;-0.630633;1;6;6;3;
1.263574;1.285549;2.019638;2.039410;1.370112;1.371882;0.540621;0.518596;0.952335;0.968286;-1.771883;-4.810278;0.699043;0.671346;0.199603;-1.354439;-1.362516;1;0;8;9;
1.860943;1.878264;1.838840;1.720765;2.181592;2.269094;1.099161;1.183019;2.272398;2.357834;-1.731566;-7.521735;0.135512;0.104506;0.137320;-1.101415;-1.072084;1;0;8;6;
1.980350;1.855869;1.357775;1.521339;2.661826;2.664627;1.518056;1.237757;1.720846;1.915369;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;0;8;3;
2.355597;2.454344;3.391262;3.321307;2.732137;2.889941;2.126064;2.324777;1.076447;1.205257;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-2.005613;-0.630633;1;0;10;3;
1.179416;1.274393;0.879379;0.912546;1.292841;1.478049;-0.147987;-0.100162;0.655881;0.792254;-1.696694;0.082757;-1.971053;-0.685553;0.090571;-0.659350;-1.999311;1;2;8;3;
2.459022;2.554622;3.019457;3.113451;2.964482;3.074856;1.992990;2.035273;3.027318;3.182628;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-2.005613;-1.999311;1;2;10;3;
1.198961;1.198849;1.721229;1.807494;1.044183;1.114474;1.249872;1.309961;0.696667;0.757072;-1.731566;-7.521735;0.135512;0.104506;0.137320;-1.101415;-1.072084;1;0;12;6;
1.852112;1.950349;2.751171;2.890180;1.706250;1.891787;1.124287;1.184827;1.810649;1.986075;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;0;12;3;
1.117799;1.198973;0.913948;0.690118;-0.333032;-0.212074;1.491055;1.495426;1.093408;1.133076;-1.696694;-12.083729;-0.654236;-0.685553;0.090571;-2.005613;-0.630633;1;0;14;3;
1.343031;1.412082;2.062271;1.922216;1.159176;1.338607;1.796248;1.984731;0.755365;0.727229;-1.696694;0.082757;-1.971053;-0.685553;0.090571;-0.659350;-0.630633;1;2;12;3;
0.751735;0.821585;1.173863;1.361281;0.532306;0.711170;0.414709;0.597394;0.630730;0.599222;-1.696694;0.082757;-0.654236;-2.001890;0.090571;-0.659350;-0.630633;1;2;14;3;
0.372057;0.348978;0.296537;0.116463;0.710728;0.747551;0.048920;0.131024;0.732242;0.817045;-1.731566;0.132947;-2.242367;-2.294948;0.137320;-2.290773;-1.072084;1;4;8;6;
0.298680;0.108204;-0.194217;-0.100460;0.331959;0.016090;0.527952;0.441194;0.630730;0.577798;-1.696694;0.082757;-1.971053;-2.001890;0.090571;-2.005613;-0.630633;1;4;8;3;
0.754913;0.800034;0.951104;1.137491;0.628592;0.674733;0.297483;0.480868;1.098006;1.169864;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;4;10;3;
0.039248;0.133337;0.700081;0.753993;-0.145028;-0.031087;-0.040426;0.117340;-0.091793;-0.027914;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;6;8;3;
0.790279;0.886514;0.585981;0.608509;0.669285;0.840999;0.458623;0.543782;0.627052;0.814986;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-2.005613;-0.630633;1;6;10;3;
0.778037;0.791929;0.752278;0.821340;1.280124;1.341468;0.991987;0.901969;1.029366;0.765873;-1.731566;0.132947;-1.053427;-1.095221;0.137320;-1.101415;-1.072084;1;4;12;6;
0.795603;0.876070;0.283532;0.224619;0.857265;0.812888;0.301701;0.470098;1.425537;1.458251;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;4;12;3;
1.374564;1.445775;0.708879;0.893021;1.092145;1.247905;0.673942;0.801095;0.522786;0.708380;-1.696694;0.082757;-1.971053;-0.685553;0.090571;-0.659350;-0.630633;1;4;14;3;
1.063066;0.969549;0.877723;0.935603;0.465024;0.411626;0.825257;1.004293;1.335868;1.359175;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-1.999311;1;6;12;3;
1.112210;0.831114;0.385876;0.406024;0.382071;0.558028;1.826200;1.402863;0.549856;0.633365;-1.696694;0.082757;-0.654236;-0.685553;0.090571;-0.659350;-0.630633;1;6;14;3;
1.014410;1.011046;1.168831;1.161229;-0.158252;-0.122664;0.726180;0.767604;-0.343621;-0.289503;-1.771883;0.207888;-2.334861;-2.414709;-5.009924;0.692370;0.739610;1;8;0;9;
