(nosplit) ;(nosplit) ;(split1) ;(split1) ;(split2) ;(split2) ;(split3) ;(split3) ;(split4) ;(split4) ;(rect1) ;(rect2) ;(rect3) ;(rect4) ;(rect5) ;(rect6) ;(rect7) ;(rect8) ;(dc_q * dc_q) / 256.0f ;has_above ;mi_size_wide_log2(above) ;mi_size_high_log2(above) ;has_left ;mi_size_wide_log2(left) ;mi_size_high_log2(left) ;rate; dist; rdcost ;frame_num ;mi_row ;mi_col ;bsize ;particionado 
8.070281;8.064322;6.570883;6.569481;7.085901;7.077498;6.118097;6.118097;6.739336;6.638568;7.600402;7.590852;7.090077;7.087574;7.062191;7.060476;7.620215;7.582738;0.940983;0.000000;2.000000;2.000000;0.000000;2.000000;2.000000;12.689998;8.610501;14.734509;1;0;0;6;1
8.145260;8.135347;7.666222;7.618251;5.905362;5.905362;6.302619;6.270988;5.888878;5.545177;7.815207;7.815207;6.928538;6.728629;7.872074;7.869020;6.601230;6.536692;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.527399;8.653296;14.633848;1;0;4;6;1
7.842279;7.841886;7.024649;7.003974;6.098074;6.052089;6.070738;6.070738;5.843544;5.690360;7.353722;7.328437;6.766191;6.766191;7.413367;7.413367;6.727432;6.727432;0.940983;1.000000;1.000000;1.000000;0.000000;2.000000;2.000000;12.561987;8.598773;14.640470;1;4;0;6;1
7.371490;7.063048;5.789960;5.556828;5.953243;5.556828;5.929589;5.631212;6.133398;5.241747;6.555357;6.340359;6.788972;6.371612;6.563856;6.442540;6.739336;6.131227;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;2.000000;12.267488;8.691650;14.480465;1;4;4;6;1
7.544861;7.425358;5.398163;5.342334;6.668228;6.655440;5.673323;5.669881;5.929589;5.921578;6.957498;6.930495;6.514713;6.364751;6.390241;6.361302;7.124478;7.058758;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.374617;8.712924;14.554829;1;0;8;6;1
8.052297;7.442492;6.656726;6.148468;6.616065;5.849325;6.291569;5.690360;6.552508;5.883322;7.308543;6.749931;7.130899;6.542472;7.288244;6.785588;7.271008;6.594413;0.940983;0.000000;2.000000;2.000000;1.000000;2.000000;2.000000;12.589299;8.525360;14.638189;1;0;12;6;1
8.029107;7.510430;6.345636;5.762052;6.599871;6.082219;6.860664;6.040255;6.582025;6.298949;7.240650;6.705639;7.423568;6.916715;7.386471;6.708084;7.283448;6.895683;0.940983;1.000000;2.000000;2.000000;1.000000;2.000000;1.000000;12.422873;8.680841;14.573979;1;4;8;6;1
7.668561;7.337588;6.326149;5.765191;6.079933;5.659482;6.159095;5.545177;5.717028;5.703783;6.994850;6.508769;6.956545;6.742881;7.018402;6.444131;6.621406;6.447306;0.940983;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;12.451279;8.595819;14.563793;1;4;12;6;1
7.506592;7.434258;5.620401;5.533390;5.929589;5.808143;6.011267;5.945421;6.165418;6.045005;6.674562;6.614726;6.914731;6.809039;6.502790;6.440947;6.788972;6.703188;0.940983;1.000000;1.000000;2.000000;0.000000;2.000000;2.000000;12.581031;8.598773;14.653757;1;8;0;6;1
7.529943;7.401231;5.910797;5.780744;5.932245;5.720312;6.082219;5.940171;6.137727;6.056784;6.687109;6.549651;6.967909;6.845880;6.726233;6.617403;6.781058;6.629363;0.940983;1.000000;2.000000;1.000000;1.000000;1.000000;1.000000;12.553361;8.506132;14.607015;1;8;4;6;1
