sequencia;parameter;cqs;yuvpsnr;ypsnr;upsnr;vpsnr;br;time(ms)
BQMall_832x480_60;orig;55;33.167;34.357;39.249;39.208;354432;497589;
BQMall_832x480_60;all_disable;55;33.183;34.376;39.268;39.278;352968;769046;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;55;33.167;34.357;39.249;39.208;354432;524651;
BQMall_832x480_60;set_disable_prune_partitions_after_none;55;33.181;34.367;39.245;39.183;354740;551085;
BQMall_832x480_60;set_disable_prune_partitions_after_split;55;33.161;34.351;39.255;39.198;352496;521041;
BQMall_832x480_60;set_disable_prune_partitions_before_search;55;33.173;34.363;39.262;39.212;352340;558651;
BQMall_832x480_60;orig;43;36.114;37.212;41.234;41.592;696800;929067;
BQMall_832x480_60;all_disable;43;36.127;37.221;41.248;41.580;694960;1327912;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;43;36.114;37.212;41.234;41.592;696800;916896;
BQMall_832x480_60;set_disable_prune_partitions_after_none;43;36.113;37.209;41.233;41.591;695852;963106;
BQMall_832x480_60;set_disable_prune_partitions_after_split;43;36.110;37.204;41.208;41.583;693452;972457;
BQMall_832x480_60;set_disable_prune_partitions_before_search;43;36.111;37.206;41.197;41.594;693428;1014954;
BQMall_832x480_60;orig;32;38.652;39.681;42.931;43.769;1327120;1350354;
BQMall_832x480_60;all_disable;32;38.655;39.685;42.954;43.766;1316720;2180560;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;32;38.652;39.681;42.931;43.769;1327120;1341607;
BQMall_832x480_60;set_disable_prune_partitions_after_none;32;38.651;39.679;42.917;43.768;1322404;1447634;
BQMall_832x480_60;set_disable_prune_partitions_after_split;32;38.657;39.684;42.919;43.750;1323444;1443199;
BQMall_832x480_60;set_disable_prune_partitions_before_search;32;38.658;39.689;42.938;43.777;1322324;1537631;
BQMall_832x480_60;orig;20;40.639;41.649;44.383;45.821;2512116;1926957;
BQMall_832x480_60;all_disable;20;40.644;41.655;44.404;45.829;2494948;3402663;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;20;40.639;41.649;44.383;45.821;2512116;1930514;
BQMall_832x480_60;set_disable_prune_partitions_after_none;20;40.642;41.652;44.393;45.824;2514792;2086591;
BQMall_832x480_60;set_disable_prune_partitions_after_split;20;40.639;41.649;44.389;45.808;2510132;2026122;
BQMall_832x480_60;set_disable_prune_partitions_before_search;20;40.640;41.653;44.402;45.834;2504572;2394356;
Campfire_3840x2160_30fps_10bit_420;orig;55;27.154;25.593;24.483;24.285;74987800;27517590;
Campfire_3840x2160_30fps_10bit_420;all_disable;55;27.167;25.607;24.505;24.306;74889776;29886781;
Campfire_3840x2160_30fps_10bit_420;set_disable_av1_ml_prune_rect_partition;55;27.141;25.585;24.476;24.271;74848208;27610326;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_none;55;27.154;25.593;24.483;24.285;74987800;27678832;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_split;55;27.141;25.585;24.476;24.271;74848208;27378815;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_before_search;55;27.150;25.596;24.493;24.300;74830496;29932643;
Campfire_3840x2160_30fps_10bit_420;orig;43;31.214;30.209;29.996;28.965;168063552;31499728;
Campfire_3840x2160_30fps_10bit_420;all_disable;43;31.219;30.215;30.020;28.971;167831888;36437405;
Campfire_3840x2160_30fps_10bit_420;set_disable_av1_ml_prune_rect_partition;43;31.211;30.206;30.000;28.962;167870152;31510414;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_none;43;31.214;30.209;29.996;28.965;168063552;31567636;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_split;43;31.211;30.206;30.000;28.962;167870152;31938668;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_before_search;43;31.210;30.214;30.017;28.978;167715472;35519412;
Campfire_3840x2160_30fps_10bit_420;orig;32;35.773;35.298;35.617;34.432;321548640;20235613;
Campfire_3840x2160_30fps_10bit_420;all_disable;32;35.784;35.306;35.628;34.419;316717776;39458315;
Campfire_3840x2160_30fps_10bit_420;set_disable_av1_ml_prune_rect_partition;32;35.771;35.296;35.610;34.430;321481872;21464125;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_none;32;35.773;35.298;35.617;34.432;321548640;20264545;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_split;32;35.771;35.296;35.610;34.430;321481872;20187792;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_before_search;32;35.777;35.300;35.623;34.419;316659080;34780132;
Campfire_3840x2160_30fps_10bit_420;orig;20;40.946;40.851;41.380;40.566;515686816;14306182;
Campfire_3840x2160_30fps_10bit_420;all_disable;20;40.957;40.857;41.414;40.545;510680320;25948377;
Campfire_3840x2160_30fps_10bit_420;set_disable_av1_ml_prune_rect_partition;20;40.948;40.850;41.384;40.552;515657912;17367718;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_none;20;40.945;40.848;41.377;40.561;515577192;15616679;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_after_split;20;40.948;40.850;41.384;40.552;515657912;16423705;
Campfire_3840x2160_30fps_10bit_420;set_disable_prune_partitions_before_search;20;40.955;40.860;41.410;40.559;510575624;25145847;
MarketPlace_1920x1080_60fps_10bit_420;orig;55;27.096;25.747;24.378;25.144;25063488;18460732;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;55;27.111;25.759;24.411;25.149;25023868;20582179;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;55;27.096;25.749;24.402;25.158;25032296;18619858;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;55;27.096;25.747;24.378;25.144;25063488;18502974;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;55;27.096;25.749;24.402;25.158;25032296;18610506;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;55;27.101;25.755;24.422;25.146;25027564;20199400;
MarketPlace_1920x1080_60fps_10bit_420;orig;43;30.322;29.917;29.504;30.084;48383832;21049260;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;43;30.318;29.914;29.508;30.068;48333004;24863602;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;43;30.323;29.915;29.499;30.077;48409060;20925710;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;43;30.322;29.917;29.504;30.084;48383832;21083603;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;43;30.323;29.915;29.499;30.077;48409060;20984098;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;43;30.331;29.931;29.522;30.108;48505732;24252547;
MarketPlace_1920x1080_60fps_10bit_420;orig;32;34.452;34.568;35.114;35.224;90741708;11621168;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;32;34.452;34.563;35.098;35.210;89888524;23975099;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;32;34.440;34.561;35.116;35.232;90617704;11502296;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;32;34.452;34.568;35.114;35.224;90741708;11608901;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;32;34.440;34.561;35.116;35.232;90617704;11617034;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;32;34.452;34.562;35.093;35.211;90016532;22971555;
MarketPlace_1920x1080_60fps_10bit_420;orig;20;39.933;40.170;40.948;40.982;152741104;9044147;
MarketPlace_1920x1080_60fps_10bit_420;all_disable;20;39.937;40.166;40.922;40.962;151992132;18339271;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_av1_ml_prune_rect_partition;20;39.942;40.176;40.941;40.983;152775824;9218003;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_none;20;39.933;40.168;40.939;40.975;152749324;9096621;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_after_split;20;39.942;40.176;40.941;40.983;152775824;9091968;
MarketPlace_1920x1080_60fps_10bit_420;set_disable_prune_partitions_before_search;20;39.942;40.172;40.929;40.961;152017704;17419703;
RaceHorsesC_832x480_30;orig;55;30.569;31.761;36.024;36.937;622464;394912;
RaceHorsesC_832x480_30;all_disable;55;30.576;31.773;36.038;37.010;620640;522790;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;55;30.569;31.761;36.024;36.937;622464;397098;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;55;30.579;31.768;36.005;36.918;624624;412066;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;55;30.584;31.775;36.008;36.954;625656;430302;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;55;30.566;31.755;35.968;36.937;619944;426611;
RaceHorsesC_832x480_30;orig;43;33.531;34.594;37.881;39.092;1308408;653572;
RaceHorsesC_832x480_30;all_disable;43;33.528;34.594;37.915;39.093;1301768;828015;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;43;33.531;34.594;37.881;39.092;1308408;606333;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;43;33.519;34.583;37.890;39.082;1305560;607392;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;43;33.532;34.597;37.906;39.110;1305680;649085;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;43;33.525;34.590;37.908;39.089;1304144;693448;
RaceHorsesC_832x480_30;orig;32;36.210;37.144;39.764;40.935;2550168;862590;
RaceHorsesC_832x480_30;all_disable;32;36.219;37.150;39.772;40.905;2538888;1327098;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;32;36.210;37.144;39.764;40.935;2550168;881808;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;32;36.217;37.150;39.782;40.916;2552040;925733;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;32;36.209;37.143;39.772;40.921;2553104;928424;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;32;36.218;37.152;39.775;40.925;2544176;975501;
RaceHorsesC_832x480_30;orig;20;39.353;40.110;41.966;42.889;5743240;1206235;
RaceHorsesC_832x480_30;all_disable;20;39.346;40.105;41.976;42.886;5724688;1883808;
RaceHorsesC_832x480_30;set_disable_av1_ml_prune_rect_partition;20;39.353;40.110;41.966;42.889;5743240;1167653;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_none;20;39.354;40.110;41.959;42.890;5746832;1256622;
RaceHorsesC_832x480_30;set_disable_prune_partitions_after_split;20;39.359;40.118;41.986;42.896;5748960;1209686;
RaceHorsesC_832x480_30;set_disable_prune_partitions_before_search;20;39.346;40.105;41.973;42.892;5725032;1441529;
BQSquare_416x240_60;orig;55;32.172;33.595;40.038;41.004;116896;128376;
BQSquare_416x240_60;all_disable;55;32.176;33.596;40.007;40.956;116796;190384;
BQSquare_416x240_60;set_disable_av1_ml_prune_rect_partition;55;32.172;33.595;40.038;41.004;116896;129749;
BQSquare_416x240_60;set_disable_prune_partitions_after_none;55;32.148;33.571;40.019;41.001;116076;144820;
BQSquare_416x240_60;set_disable_prune_partitions_after_split;55;32.157;33.579;40.012;40.979;116644;143739;
