x+=1,parameter,cqs,block,time,count
BQMall_832x480_60,orig,55,BLOCK_4X4,8.24649,278086
BQMall_832x480_60,orig,55,BLOCK_4X8,2.35508,13338
BQMall_832x480_60,orig,55,BLOCK_8X4,2.22649,13185
BQMall_832x480_60,orig,55,BLOCK_8X8,41.1305,173544
BQMall_832x480_60,orig,55,BLOCK_8X16,33.1137,19404
BQMall_832x480_60,orig,55,BLOCK_16X8,28.055,17173
BQMall_832x480_60,orig,55,BLOCK_16X16,121.946,87740
BQMall_832x480_60,orig,55,BLOCK_16X32,36.548,11972
BQMall_832x480_60,orig,55,BLOCK_32X16,24.0946,8565
BQMall_832x480_60,orig,55,BLOCK_32X32,173.452,41050
BQMall_832x480_60,orig,55,BLOCK_32X64,4.94834,1118
BQMall_832x480_60,orig,55,BLOCK_64X32,6.20784,1513
BQMall_832x480_60,orig,55,BLOCK_64X64,67.8781,12480
BQMall_832x480_60,orig,55,BLOCK_64X128,9.13101,643
BQMall_832x480_60,orig,55,BLOCK_128X64,4.27241,382
BQMall_832x480_60,orig,55,BLOCK_128X128,40.6564,3360
BQMall_832x480_60,orig,55,BLOCK_4X16,4.30555,7907
BQMall_832x480_60,orig,55,BLOCK_16X4,2.52253,4252
BQMall_832x480_60,orig,55,BLOCK_8X32,21.5486,7418
BQMall_832x480_60,orig,55,BLOCK_32X8,11.0917,4399
BQMall_832x480_60,orig,55,BLOCK_16X64,0.417689,96
BQMall_832x480_60,orig,55,BLOCK_64X16,0.170506,42
BQMall_832x480_60,all_disable,55,BLOCK_4X4,10.5859,390414
BQMall_832x480_60,all_disable,55,BLOCK_4X8,5.17868,75530
BQMall_832x480_60,all_disable,55,BLOCK_8X4,4.70366,75403
BQMall_832x480_60,all_disable,55,BLOCK_8X8,54.5539,341568
BQMall_832x480_60,all_disable,55,BLOCK_8X16,40.1775,42245
BQMall_832x480_60,all_disable,55,BLOCK_16X8,34.0666,41506
BQMall_832x480_60,all_disable,55,BLOCK_16X16,153.99,163082
BQMall_832x480_60,all_disable,55,BLOCK_16X32,57.6498,22312
BQMall_832x480_60,all_disable,55,BLOCK_32X16,50.8037,21486
BQMall_832x480_60,all_disable,55,BLOCK_32X32,261.055,46254
BQMall_832x480_60,all_disable,55,BLOCK_32X64,35.2673,5940
BQMall_832x480_60,all_disable,55,BLOCK_64X32,37.6264,6641
BQMall_832x480_60,all_disable,55,BLOCK_64X64,168.443,12480
BQMall_832x480_60,all_disable,55,BLOCK_64X128,27.3189,1417
BQMall_832x480_60,all_disable,55,BLOCK_128X64,17.2562,1183
BQMall_832x480_60,all_disable,55,BLOCK_128X128,73.1132,3360
BQMall_832x480_60,all_disable,55,BLOCK_4X16,8.43604,33644
BQMall_832x480_60,all_disable,55,BLOCK_16X4,7.46667,33644
BQMall_832x480_60,all_disable,55,BLOCK_8X32,36.8599,17846
BQMall_832x480_60,all_disable,55,BLOCK_32X8,30.0134,17846
BQMall_832x480_60,all_disable,55,BLOCK_16X64,20.2204,5258
BQMall_832x480_60,all_disable,55,BLOCK_64X16,16.8728,5258
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_4X4,8.76291,278086
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_4X8,2.46652,13338
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_8X4,2.33226,13185
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_8X8,43.499,173544
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_8X16,34.6999,19404
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_16X8,29.4141,17173
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_16X16,128.374,87740
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_16X32,38.7848,11972
BQMall_832x480_60,set_disable_av1_ml_prune_rect_partition,55,BLOCK_32X16,25.5123,8565
