sequencia;parameter;cqs;n_frame;frame_type;av1_encode_strategy_time;av1_get_second_pass_params_time;denoise_and_encode_time;apply_filtering_time;av1_tpl_setup_stats_time;encode_frame_to_data_rate_time;encode_with_recode_loop_time;loop_filter_time;cdef_time;loop_restoration_time;av1_pack_bitstream_final_time;av1_encode_frame_time;av1_compute_global_motion_time;av1_setup_motion_field_time;encode_sb_row_time;rd_pick_partition_time;av1_prune_partitions_time;none_partition_search_time;split_partition_search_time;rectangular_partition_search_time;ab_partitions_search_time;rd_pick_4partition_time;encode_sb_time;rd_pick_sb_modes_time;av1_rd_pick_intra_mode_sb_time;av1_rd_pick_inter_mode_sb_time;set_params_rd_pick_inter_mode_time;skip_inter_mode_time;handle_inter_mode_time;evaluate_motion_mode_for_winner_candidates_time;do_tx_search_time;handle_intra_mode_time;refine_winner_mode_tx_time;av1_search_palette_mode_time;handle_newmv_time;compound_type_rd_time;interpolation_filter_search_time;motion_mode_rd_time;
BQMall_832x480_60;orig;55;59;INTER_FRAME;       497562297 ;             117 ;       497562028 ;         2634228 ;        17039035 ;       477886622 ;       471083175 ;          685688 ;          705161 ;         5382938 ;           25870 ;       470797834 ;        14980583 ;            5013 ;       456030485 ;       455398828 ;         3639464 ;       253887845 ;        61459913 ;       119639092 ;        33965262 ;        40460930 ;          565970 ;       442280463 ;         7264522 ;       434927049 ;         2800821 ;         1996933 ;       379267375 ;            7313 ;        24350579 ;        23610122 ;           14829 ;               0 ;        33575937 ;       175926646 ;        21145106 ;        56966628 ;
BQMall_832x480_60;all_disable;55;59;INTER_FRAME;       769021790 ;             115 ;       769021509 ;         2655900 ;        17370597 ;       748992835 ;       741780745 ;          731812 ;          767666 ;         5683052 ;           25597 ;       741495726 ;        15612555 ;            5171 ;       726094219 ;       725450808 ;           18556 ;       285364173 ;       133918489 ;       279390110 ;        35389029 ;       121411024 ;          721561 ;       708861156 ;         7858279 ;       700804257 ;         5721608 ;         4259692 ;       609911570 ;           17062 ;        35965059 ;        38764776 ;           30850 ;               0 ;        56381040 ;       277515779 ;        34186047 ;        85045074 ;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;55;59;INTER_FRAME;       524627467 ;              99 ;       524627184 ;         2700982 ;        17001710 ;       504922329 ;       497757207 ;          732695 ;          736633 ;         5665361 ;           26553 ;       497471974 ;        15633558 ;            5179 ;       482049258 ;       481404537 ;         3907145 ;       268585729 ;        64704697 ;       126168692 ;        36086577 ;        42614095 ;          615299 ;       467236261 ;         7266650 ;       459865610 ;         3065490 ;         2181742 ;       401633565 ;            8006 ;        25429747 ;        24495604 ;           15212 ;               0 ;        36141714 ;       186179711 ;        22478528 ;        59962600 ;
BQMall_832x480_60;set_disable_prune_partitions_after_none;55;59;INTER_FRAME;       551060967 ;             116 ;       551060666 ;         2733715 ;        17888119 ;       530436652 ;       523231590 ;          724387 ;          738241 ;         5711124 ;           27271 ;       522947039 ;        15869465 ;            5198 ;       507287521 ;       506639976 ;         5293460 ;       282436431 ;        69265413 ;       129875173 ;        38496362 ;        43945550 ;          716361 ;       485828458 ;         7262793 ;       478441700 ;         4256686 ;         3004351 ;       415836245 ;           11480 ;        25631587 ;        25349129 ;           23600 ;               0 ;        39535482 ;       188086621 ;        23407139 ;        65807818 ;
BQMall_832x480_60;set_disable_prune_partitions_after_split;55;59;INTER_FRAME;       521014142 ;             100 ;       521013869 ;         2611183 ;        17159250 ;       501241302 ;       494365895 ;          687119 ;          703592 ;         5454446 ;           26310 ;       494081915 ;        14968125 ;            4966 ;       479326181 ;       478696053 ;         3689331 ;       249975181 ;        76569303 ;       133826545 ;        42441081 ;        46116900 ;          589379 ;       465764507 ;         7254782 ;       458403734 ;         3091869 ;         2268168 ;       398874175 ;            9604 ;        25004712 ;        25806440 ;           19081 ;               0 ;        37121715 ;       180050853 ;        22383026 ;        60342610 ;
BQMall_832x480_60;set_disable_prune_partitions_before_search;55;59;INTER_FRAME;       558625103 ;             119 ;       558624818 ;         2633586 ;        16838272 ;       539150816 ;       532369187 ;          685024 ;          712027 ;         5355774 ;           24956 ;       532085316 ;        14883599 ;            4990 ;       517414685 ;       516786672 ;           12826 ;       253301429 ;        72524945 ;       181386485 ;        26515768 ;        50543239 ;          562282 ;       505832902 ;         7244389 ;       498491590 ;         2996446 ;         2122685 ;       437615406 ;            7889 ;        26218082 ;        26425741 ;           15126 ;               0 ;        36687390 ;       207479774 ;        24131986 ;        62183471 ;
BQMall_832x480_60;orig;43;59;INTER_FRAME;       929043138 ;             114 ;       929042863 ;         2711578 ;        20904894 ;       905424209 ;       897947995 ;          752104 ;         1219887 ;         5455213 ;           45072 ;       897662102 ;        16462333 ;            5419 ;       881409027 ;       880762177 ;         5443149 ;       505636899 ;       120125483 ;       242578239 ;        49342099 ;        70997759 ;         1007423 ;       858654112 ;         9016891 ;       849490947 ;         4421850 ;         3440774 ;       728440134 ;           12665 ;        57884202 ;        50171493 ;           26014 ;               0 ;        65538841 ;       341264548 ;        36732060 ;        98925338 ;
BQMall_832x480_60;all_disable;43;59;INTER_FRAME;      1327888826 ;             111 ;      1327888548 ;         2647057 ;        20223700 ;      1305015642 ;      1297494057 ;          754689 ;         1251726 ;         5466649 ;           44689 ;      1297190719 ;        16419200 ;            5421 ;      1280998923 ;      1280336862 ;           41746 ;       519740215 ;       240988769 ;       500673622 ;        43159532 ;       211149058 ;         1210962 ;      1255763056 ;        10436981 ;      1245027846 ;         8027590 ;         6537644 ;      1060644961 ;           27604 ;        78963659 ;        81368507 ;           52591 ;               0 ;        99885987 ;       482696208 ;        54961126 ;       137631205 ;
BQMall_832x480_60;set_disable_av1_ml_prune_rect_partition;43;59;INTER_FRAME;       916872664 ;             118 ;       916872379 ;         2641205 ;        20627860 ;       893601121 ;       886133256 ;          758897 ;         1237173 ;         5422877 ;           45102 ;       885827196 ;        16330344 ;            5341 ;       869727013 ;       869057284 ;         5338853 ;       500792360 ;       118023324 ;       238049965 ;        48357216 ;        69771682 ;          994233 ;       847180045 ;         9801132 ;       837229113 ;         4369107 ;         3336125 ;       717783705 ;           12856 ;        56859444 ;        49918831 ;           25212 ;               0 ;        63335469 ;       337427771 ;        36332555 ;        98072287 ;
BQMall_832x480_60;set_disable_prune_partitions_after_none;43;59;INTER_FRAME;       963083330 ;             108 ;       963083049 ;         2649586 ;        20696869 ;       939734394 ;       932252845 ;          742021 ;         1229896 ;         5460520 ;           45209 ;       931946021 ;        16365218 ;            5367 ;       915811661 ;       915145194 ;         6632940 ;       521472012 ;       126097780 ;       246923570 ;        56298685 ;        73650691 ;         1241898 ;       884053388 ;         9811673 ;       874052054 ;         6081408 ;         4724164 ;       746372362 ;           19170 ;        58146465 ;        51777997 ;           38230 ;               0 ;        69487571 ;       343783426 ;        38750448 ;       105233821 ;
